category	date	title	venue	location	talk_url	venue_url	description
Presentation	2021-07-11	The Edge Interdiction Clique Problem	EURO Athens	Greece		https://euro2021athens.com/	
Presentation	2020-10-20	Two Branch-and-cut Algorithms for the Directed Network Design Problem with Relays	15th INFORMS Telecommunications and Network Analytics Conference	Online		http://informs_tnac2020.zib.de	
Presentation	2019-10-20	A New Bilevel Approach For the k-vertex Cut Problem	INFORMS Annual Meeting	Seattle, Washington, US		http://meetings2.informs.org/wordpress/seattle2019/	
Presentation	2019-06-12	On Integer and Bilevel Formulations for the k-Vertex Cut Problem	International Network Optimization Conference	Avignon, France	slides/INOC2019_Ljubic.pdf	https://inoc2019.sciencesconf.org/	
Presentation	2019-06-02	Optimal vehicle routing with autonomous devices for last-mile delivery	VeRoLog - Workshop of the EURO Working Group on Vehicle Routing and Logistics optimization	Seville, Spain		https://verolog2019.sciencesconf.org/browse/speaker?authorid=369995	
Presentation	2018-11-02	Clique Interdiction Attacks in Networks	INFORMS Annual Meeting	Phoenix, AZ, US		http://meetings2.informs.org/wordpress/phoenix2018/	
Presentation	2018-07-09	Benders Decomposition for Covering Location Problems	EURO 2018	Valencia, Spain		http://euro2018valencia.com/	
Presentation	2018-07-03	Decomposition Approaches to Covering Location Problems	ISMP 2018	Bordeaux, France			
Presentation	2018-06-08	The Directed Network Design Problem with Relays	Odysseus - Seventh International Workshop on Freight Transportation and Logistics	Cagliari, Italy	slides/Odysseus2018_Ljubic.pdf	http://convegni.unica.it/odysseus2018/	
Presentation	2018-01-01	MIP Modeling of Incremental Connected Facility Location	INFORMS Telecommunications Conference	Hamburg, Germany	slides/informsTelecom2018_Ljubic.pdf	https://www.bwl.uni-hamburg.de/en/iwi/forschung/konferenzen/informs2018.html	
Presentation	2017-09-22	Decomposition Methods for Stochastic Steiner Trees	European Conference on Stochastic Optimization, ECSO	Rome, Italy	slides/ECSO2017_Ljubic.pdf		
Presentation	2017-09-07	Outer Approximation and Submodular Cuts for Maximum Capture Facility Location Problems with Random Utilities	Optimization Conference	Lisbon, Portugal	slides/Optimization2017_Ljubic.pdf	http://optimization2017.fc.ul.pt	
Presentation	2017-09-06	New Decomposition Approaches for the Two-Stage Stochastic Steiner Tree Problem	Workshop celebrating the 60th birthday of Luis Gouveia	Lisbon, Portugal		http://optimization2017.fc.ul.pt/workshop.html	
Presentation	2017-02-28	Clique Interdiction in the Social Network Analysis	INOC 2017	Lisbon, Portugal		http://inoc2017.fc.ul.pt/	
Presentation	2017-02-23	On Clique Interdiction Problems in Graphs	ROADEF 2017	Metz, France		http://roadef2017.event.univ-lorraine.fr/	
Presentation	2016-11-08	Interdiction Games and Monotonicity	PGMO Days 2016	Paris, France	https://www.fondation-hadamard.fr/sites/default/files/public/bibliotheque/gamesandprobabilities-ljubic.pdf	https://www.fondation-hadamard.fr/fr/pgmo/pgmodays#OR2	
Presentation	2016-07-11	A new exact solver for mixed-integer bilevel linear programs based in intersection cuts	GO X	Mount Rigi, Switzerland		http://campus.hesge.ch/varones/go/10/#	
Presentation	2016-07-05	Intersection Cuts for Mixed-Integer Bilevel Linear Programs	EURO 2016	Poznan, Poland		http://www.euro2016.poznan.pl/	
