pub_date	title	venue	author	excerpt	citation	paper_url	download_url
2022-01-01	Comparison of Formulations for the Inventory Routing Problem	 Eur. J. Oper. Res. 303(3): 997-1008	C. Archetti, I. Ljubić			https://www.sciencedirect.com/science/article/pii/S0377221721011073	publications/IRP.pdf
2022-02-01	Arc routing with electric vehicles: dynamic charging and speed-dependent energy consumption	Transportation Science	E. Fernandez, M. Leitner, I. Ljubić, and M. Ruthmair			https://pubsonline.informs.org/doi/10.1287/trsc.2022.1126	http://www.optimization-online.org/DB_HTML/2019/06/7262.html
2021-01-01	Survey on Mixed-Integer Programming Techniques in Bilevel Optimization	 EURO J. Comput. Optim. 9: 100007	T. Kleinert, M. Labbé, I. Ljubić, M. Schmidt			https://doi.org/10.1016/j.ejco.2021.100007	http://www.optimization-online.org/DB_HTML/2021/01/8187.html
2021-01-01	Casting light on the hidden bilevel combinatorial structure of the capacitated vertex separator problem	 Oper. Res. 70(4): 2399-2420	F. Furini, I. Ljubić, E. Malaguti, P. Paronuzzi			https://pubsonline.informs.org/doi/abs/10.1287/opre.2021.2110	http://www.optimization-online.org/DB_HTML/2019/09/7389.html
2022-01-01	A tailored Benders decomposition approach for last-mile delivery with autonomous robots	Eur. J. Oper. Res. 299(2): 510-525	L. Alfandari, I. Ljubić, M. Melo da Silva			https://doi.org/10.1016/j.ejor.2021.06.048	http://www.optimization-online.org/DB_HTML/2021/03/8279.html
2022-01-01	Budgeting in International Humanitarian Organizations	Manuf. Serv. Oper. Manag. 24(3): 1562-1577	M. Keshvari Fard, I. Ljubić, F. Papier			https://pubsonline.informs.org/doi/10.1287/msom.2021.1016	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3464619
2021-01-01	A branch-and-cut algorithm for the Edge Interdiction Clique Problem	Eur. J. Oper. Res. 294(1): 54-69	F. Furini, I. Ljubić, P. San Segundo, Y. Zhao			https://doi.org/10.1016/j.ejor.2021.01.030	http://www.optimization-online.org/DB_HTML/2020/08/7975.html
2021-01-01	Benders decomposition for a node-capacitated virtual network functions placement and routing problem	Comput. Oper. Res. 130: 105227	I. Ljubić, A. Mouaci, N. Perrot, E. Gourdin			https://doi.org/10.1016/j.cor.2021.105227	
2021-01-01	An Exact Method for Assortment Optimization under the Nested Logit Model	Eur. J. Oper. Res. 291(3): 830-845	L. Alfandari, A. Hassanzadeh, I. Ljubić			https://doi.org/10.1016/j.ejor.2020.12.007	publications/AOPNL.pdf
2021-01-01	Solving Steiner Trees - Recent Advances, Challenges and Perspectives	Networks 77(2):177-204	I. Ljubić			https://doi.org/10.1002/net.22005	publications/NetworksSI.pdf
