pub_date	title	venue	author	excerpt	conf_url	paper_url	download_url
2022-01-01	SOCP-Based Disjunctive Cuts for a Class of Integer Nonlinear Bilevel Programs	IPCO: 262-276	Elisabeth Gaar, Jon Lee, Ivana Ljubić, Markus Sinnl, Kübra Taninmis			https://arxiv.org/abs/2111.06824	
2020-01-01	Virtual Network Functions Placement and Routing Problem: Path formulation	2020 IFIP Networking Conference (Networking), Paris, France, 2020, pp.55-63, IEEE	Ahlam Mouaci, Éric Gourdin, Ivana Ljubić, Nancy Perrot			https://ieeexplore.ieee.org/document/9142789	
2016-01-01	Intersection Cuts for Bilevel Optimization	IPCO 2016, Springer, Volume 9682 of Lecture Notes in Computer Science, pp 77-88	M. Fischetti, I. Ljubić, M. Monaci, M. Sinnl		http://events.ulg.ac.be/ipco2016/conference-programme/	http://link.springer.com/chapter/10.1007%2F978-3-319-33461-5_7	
2015-01-01	ILP and CP Formulations for the Lazy Bureaucrat Problem	CPAIOR 2015, Volume 9075 of Lecture Notes in Computer Science, pp. 255-270	F. Furini, I. Ljubić, M. Sinnl		http://www.cpaior2015.uconn.edu/	http://link.springer.com/chapter/10.1007/978-3-319-18008-3_18	
2014-01-01	On the Asymmetric Connected Facility Location Polytope	ISCO 2014, Volume 8596 Lecture Notes in Computer Science, pp. 371-383	M. Leitner, I. Ljubić, J.J. Salazar-Gonzalez, M. Sinnl			http://link.springer.com/chapter/10.1007%2F978-3-319-09174-7_32	publications/aConFL-ISCO.pdf
2014-01-01	A partition-based heuristic for the Steiner tree problem in large graphs	HM 2014, Volume 8457 of Lecture Notes in Computer Science, pp. 56-70	Markus Leitner, Ivana Ljubić, Martin Luipersbeck, Max Resch			http://link.springer.com/chapter/10.1007%2F978-3-319-07644-7_5	publications/STP-HM.pdf
2013-01-01	Stochastic Survivable Network Design Problems	INOC 2013, Volume 41 of Electronic Notes in Discrete Mathematics, pp. 245-252	I. Ljubić, P. Mutzel, B. Zey			http://www.sciencedirect.com/science/article/pii/S1571065313001029	http://ls11-www.cs.uni-dortmund.de/_media/techreports/tr12-03.pdf
2013-01-01	Solving the bi-objective prize-collecting Steiner tree problem with the e-constraint method	INOC, Volume 41 of Electronic Notes in Discrete Mathematics, pp. 181-188	M. Leitner, I. Ljubić, and M. Sinnl			http://www.sciencedirect.com/science/article/pii/S1571065313000942	http://homepage.univie.ac.at/markus.leitner/research/pub/pdf/leitner-13b.pdf
2013-01-01	On the two-architecture connected facility location problem	INOC, volume 41 of Electronic Notes in Discrete Mathematics, pp. 359-366	M. Leitner, I. Ljubić, M. Sinnl, and A. Werner			http://dx.doi.org/10.1016/j.endm.2013.05.113	http://homepage.univie.ac.at/markus.leitner/research/pub/pdf/kConFL.pdf
2013-01-01	The Rooted Maximum Node-Weight Connected Subgraph Problem	CPAIOR, Volume 7874 of Lecture Notes in Computer Science, pp. 300-315	E. Alvarez-Miranda, I. Ljubić, P. Mutzel		http://www.cis.cornell.edu/ics/cpaior2013/		publications/rootedMWCS_final.pdf
2012-01-01	Variable Neighborhood Search for Solving the Balanced Location Problem	EUROmC XXVIII VNS, Volume 39 of Electronic Notes in Discrete Mathematics, pp. 21-28	J. Kratica, M. Leitner, I. Ljubić			http://www.sciencedirect.com/science/article/pii/S1571065312000054	
2012-01-01	On the Hop Constrained Steiner Tree Problem with multiple Root Nodes	ISCO, Volume 7422 of Lecture Notes in Computer Science, pp. 201-212	L. Gouveia, M. Leitner, I. Ljubić		http://isco12.cs.aueb.gr	http://www.springerlink.com/content/72697g013x21mk71/?MUD=MP	
2011-01-01	Exact Solutions for the Robust Prize-Collecting Steiner Tree Problem	RNDM, IEEE Xplore, ISSN: 2157-0221, pp. 1-7	E. Alvarez-Miranda, I. Ljubić, P. Toth		http://rndm.pl	http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6078848&tag=1	publications/RPCSTP_RNDM_TechReport.pdf
2011-01-01	MIP modeling of Incremental Connected Facility Location	INOC, Volume 6701 of Lecture Notes in Computer Science, pp. 490-502	A. Arulselvan, A. Bley, S. Gollowitzer, I. Ljubić, O. Maurer		http://www.inoc2011.de	http://www.springerlink.com/content/160851210758j2g1/	publications/IncrementalFacility_INOC2011.pdf
2011-01-01	A Node Splitting Technique for Two Level Network Design Problems with Transition Nodes	INOC, Volume 6701 of Lecture Notes in Computer Science, pp. 57-70	S. Gollowitzer, L. Gouveia and I. Ljubić		http://www.inoc2011.de	http://www.springerlink.com/content/q11152hu88051123/	publications/TLNDF-INOC2011.pdf
2010-01-01	Solving Two-Stage Stochastic Steiner Tree Problems by Two-Stage Branch-and-Cut	ISAAC, Volume 6506 of Lecture Notes in Computer Science, pp. 427-439	Immanuel M. Bomze, Markus Chimani, Michael Jünger, Ivana Ljubić, Petra Mutzel, Bernd Zey		http://tclab.kaist.ac.kr/~isaac10/	http://www.springerlink.com/content/74n3181l41202406/	publications/TechReport.pdf
2010-01-01	Modelling the Hop Constrained Connected Facility Location Problem on Layered Graphs	ISCO, Electronic Notes in Discrete Mathematics 36, 207-214	I. Ljubić, S. Gollowitzer		http://www.lamsade.dauphine.fr/~isco/		publications/ISCO2010.pdf
2009-01-01	Exact Approaches to the Single-Source Network Loading Problem	INOC	I. Ljubić. P. Putz, J.J. Salazar		http://www.di.unipi.it/INOC2009		publications/INOC2009.pdf
2009-01-01	The Generalized Regenerator Location Problem	INOC	S. Chen, I. Ljubić, S. Raghavan		http://www.di.unipi.it/INOC2009		publications/INOC2009ChenLjubićRaghavan.pdf
2008-01-01	Strong Formulations for 2-Node-Connected Steiner Network Problems	COCOA, Volume 5165 of Lecture Notes in Computer Science, pp. 190-200	M. Chimani, M. Kandyba, I. Ljubić, and P. Mutzel			http://www.springerlink.com/content/a6452l420v765466/	
2008-01-01	A GRASP Algorithm for Connected Facility Location	International Symposium on Applications and the Internet, IEEE CS Press, pp. 257-260	A. Tomazic, I. Ljubić			http://csdl2.computer.org/persagen/DLAbsToc.jsp?resourcePath=/dl/proceedings/&toc=comp/proceedings/saint/2008/3297/00/3297toc.xml&DOI=10.1109/SAINT.2008.64	
2008-01-01	Obtaining Optimal k-Cardinality Trees Fast	ALENEX, SIAM, pp. 27-36	M. Chimani, M. Kandyba, I. Ljubić, and P. Mutzel		http://www.siam.org/meetings/alenex08	http://www.siam.org/proceedings/alenex/2008/alx08_03chimanim.pdf	
2007-01-01	A Hybrid VNS for Connected Facility Location	Hybrid Metaheuristics 2007, Volume 4771 of Springer Lecture Notes in Computer Science, pp. 157-169	I. Ljubić			http://www.springerlink.com/content/y641322u86w9nu11/	
2005-01-01	Solving the prize-collecting Steiner tree problem to optimality	ALENEX, SIAM, pp. 68-76, 2005. ISBN 0-89871-596-2	I. Ljubić, R. Weiskircher, U. Pferschy, G. Klau, P. Mutzel, and M. Fischetti		http://www.siam.org/meetings/alenex05	http://www.siam.org/meetings/alenex05/papers/06iljubic.pdf	
2004-01-01	Combining a memetic algorithm with integer programming to solve the prize-collecting Steiner tree problem	GECCO, Volume 3102 of Springer Lecture Notes in Computer Science, pp. 1304-1315	G.W. Klau, I. Ljubić, A. Moser, P. Mutzel, P. Neuner, U. Pferschy G. Raidl, R. Weiskircher			http://springerlink.metapress.com/content/8hfukgu1dw1nppa8/?p=100f986eb58943ea9ce8b7e95bc7d482&pi=0	
2003-01-01	The Fractional Prize-Collecting Steiner Tree Problem on Trees	ESA, Volume 2832 of Springer Lecture Notes in Computer Science, pp. 691-702	G.W. Klau, I. Ljubić, P. Mutzel, U. Pferschy, R. Weiskircher			https://link.springer.com/chapter/10.1007/978-3-540-39658-1_62	publications/FractPCSTP.pdf
2003-01-01	A genetic algorithm for the index selection problem	EvoWorkshops, Volume 2611 of Springer Lecture Notes in Computer Science, pp. 280-290	J. Kratica, I. Ljubić, and D. Tosic			http://www.springerlink.com/content/vt786x7dgcxt3a7l/	
2002-01-01	A Memetic Algorithm for Vertex-Biconnectivity Augmentation	EvoWorkshops, Volume 2279 of Springer Lecture Notes in Computer Science, pp. 102-111	S. Kersting, G. R. Raidl, and I. Ljubić			http://www.springerlink.com/content/nd1d30bt6j2uglgh/	
2001-01-01	An Evolutionary Algorithm with Stochastic Hill-Climbing for the Edge-Biconnectivity Augmentation Problem	EvoWorkshops, Volume 2037 of Springer Lecture Notes in Computer Science, pp. 20-29	I. Ljubić, and G. R. Raidl			http://www.springerlink.com/content/5puq7p5x7893nw27/	
2000-01-01	A Hybrid GA for the Edge-Biconnectivity Augmentation Problem	PPSN, Volume 1917 of Springer Lecture Notes in Computer Science, pp. 641-650	I. Ljubić, G. R. Raidl, and J. Kratica			http://www.ads.tuwien.ac.at/publications/bib/pdf/ljubic-00a.pdf	
2000-01-01	A genetic algorithm for the biconnectivity augmentation problem	IEEE Congress on Evolutionary Computation, IEEE Press, pp. 89-96	I. Ljubić and J. Kratica				
