category	date	title	venue	location	talk_url	venue_url	description
Talk	2020-08-30	New integer and Bilevel Formulations for the k-Vertex Cut Problem	22ème séminaire du groupe POC (online)		https://www.youtube.com/watch?v=v66IrAejl7k&feature=youtu.be	https://www.lamsade.dauphine.fr/poc/?q=node/72	
Talk	2020-10-12	Branch-and-Cut Solvers for Mixed-Integer Bilevel Linear Programs	Autumn School on Bilevel Optimization	Uni Trier, Germany	https://alop.uni-trier.de/wp-content/uploads/2020/10/ALOP_Ljubić.pdf	https://alop.uni-trier.de/event/autumn-school-on-bilevel-optimization/	
Talk	2020-01-20	Branch-and-Benders-cut algorithms: modern implementations of Benders Decomposition	9th Winter School on Network Optimization	Estoril, Portugal	http://netopt2020.campus.ciencias.ulisboa.pt/sites/netopt2020/files/Abs_Ivana.pdf	http://netopt2020.campus.ciencias.ulisboa.pt/	
Talk	2018-08-23	A new branch-and-cut algorithm for interdiction problems with monotonicity	USC Center for Artificial Intelligence in Society	USA		https://www.cais.usc.edu/	
Talk	2018-10-08	Very Large Scale Covering Location Problems in the Design of Advanced Metering Infrastructure	Workshop on Smart Cities Analytics	Ivey Business School, Canada	http://www.iveysmartcities.tk/slides/Ljubić_SmartCities2018.pdf	http://www.iveysmartcities.tk/index.html#speakers	
Talk	2018-03-26	Exact General-Purpose Solvers for Mixed-Integer Bilevel Linear Programs	37ème Journées Franciliennes de Recherche Opérationnelle	CNAM, Paris, France	slides/JFRO_Ljubić.pdf	http://www.lamsade.dauphine.fr/~jfro/JourneesPrecedentes/anciennesJournees/jfro37.html
Talk	2018-08-17	Very Large Scale Covering Location Problems in the Design of Advanced Metering Infrastructure	GERAD Seminar	 Montreal, Canada		https://www.gerad.ca/en/events/1608	
Talk	2018-06-11	New Branch-and-Cut Algorithms for Mixed-Integer Bilevel Linear Programs	Séminaire Parisien d'Optimisation	Institut Henri Poincaré, Paris, France	slides/Workshop_Ljubić.pdf		
Invited Speaker	2017-06-16	A dual-ascent-based branch-and-bound framework for the prize-collecting Steiner tree and related problems	Journées Polyèdres et Optimisation Combinatoire JPOC10	University Paris 13, France		http://www.lamsade.dauphine.fr/~poc/jpoc10/programme.html	
Talk	2016-10-08	A new general-purpose algorithm for mixed-integer bilevel linear programs	15ème séminaire du groupe POC - Combinatorial Bi-level optimization	Université Pierre et Marie Curie, Paris		http://www.lamsade.dauphine.fr/~poc/poc/?q=node/50	
